DATE,TIME_PERIOD,UK_pound,Japanese_yen,US_dollar
9/28/2020,28-Sep-20,0.91,123.02,1.17
9/29/2020,29-Sep-20,0.91,123.61,1.17
9/30/2020,30-Sep-20,0.91,123.76,1.17
10/1/2020,1-Oct-20,0.91,123.98,1.18
10/2/2020,2-Oct-20,0.91,123.4,1.17
10/5/2020,5-Oct-20,0.91,124.25,1.18
10/6/2020,6-Oct-20,0.91,124.58,1.18
10/7/2020,7-Oct-20,0.91,124.73,1.18
10/8/2020,8-Oct-20,0.91,124.69,1.18
10/9/2020,9-Oct-20,0.91,124.95,1.18
10/12/2020,12-Oct-20,0.91,124.41,1.18
10/13/2020,13-Oct-20,0.91,124.38,1.18
10/14/2020,14-Oct-20,0.9,123.7,1.18
10/15/2020,15-Oct-20,0.91,123.15,1.17
10/16/2020,16-Oct-20,0.91,123.59,1.17
10/19/2020,19-Oct-20,0.91,124.11,1.18
10/20/2020,20-Oct-20,0.91,124.79,1.18
10/21/2020,21-Oct-20,0.91,124.27,1.19
10/22/2020,22-Oct-20,0.9,123.72,1.18
10/23/2020,23-Oct-20,0.91,124.17,1.19
10/26/2020,26-Oct-20,0.91,124.14,1.18
10/27/2020,27-Oct-20,0.91,123.74,1.18
10/28/2020,28-Oct-20,0.91,122.36,1.17
10/29/2020,29-Oct-20,0.9,122.09,1.17
10/30/2020,30-Oct-20,0.9,122.36,1.17
11/2/2020,2-Nov-20,0.9,121.93,1.17
11/3/2020,3-Nov-20,0.9,122.56,1.17
11/4/2020,4-Nov-20,0.9,122.31,1.17
11/5/2020,5-Nov-20,0.9,122.86,1.19
11/6/2020,6-Nov-20,0.9,122.66,1.19
11/9/2020,9-Nov-20,0.9,124.67,1.19
11/10/2020,10-Nov-20,0.89,124.36,1.18
11/11/2020,11-Nov-20,0.89,124.07,1.18
11/12/2020,12-Nov-20,0.9,124.25,1.18
11/13/2020,13-Nov-20,0.9,123.88,1.18
11/16/2020,16-Nov-20,0.9,124.15,1.18
11/17/2020,17-Nov-20,0.9,123.78,1.19
11/18/2020,18-Nov-20,0.89,123.28,1.19
11/19/2020,19-Nov-20,0.89,123.08,1.18
11/20/2020,20-Nov-20,0.89,123.18,1.19
11/23/2020,23-Nov-20,0.89,123.47,1.19
11/24/2020,24-Nov-20,0.89,124.06,1.19
11/25/2020,25-Nov-20,0.89,124.19,1.19
11/26/2020,26-Nov-20,0.89,124.04,1.19
11/27/2020,27-Nov-20,0.89,124.23,1.19
11/30/2020,30-Nov-20,0.9,124.79,1.2
12/1/2020,1-Dec-20,0.9,124.92,1.2
12/2/2020,2-Dec-20,0.9,126.13,1.21
12/3/2020,3-Dec-20,0.9,126.49,1.22
12/4/2020,4-Dec-20,0.9,126.44,1.22
12/7/2020,7-Dec-20,0.91,126.3,1.21
12/8/2020,8-Dec-20,0.91,126.18,1.21
12/9/2020,9-Dec-20,0.9,126.05,1.21
12/10/2020,10-Dec-20,0.91,126.53,1.21
12/11/2020,11-Dec-20,0.92,126.28,1.21
12/14/2020,14-Dec-20,0.91,126.11,1.22
12/15/2020,15-Dec-20,0.91,126.08,1.21
12/16/2020,16-Dec-20,0.9,125.97,1.22
12/17/2020,17-Dec-20,0.9,126.19,1.22
12/18/2020,18-Dec-20,0.91,126.69,1.23
12/21/2020,21-Dec-20,0.92,126.04,1.22
12/22/2020,22-Dec-20,0.91,126.52,1.22
12/23/2020,23-Dec-20,0.91,125.99,1.22
12/24/2020,24-Dec-20,0.9,126.38,1.22
12/28/2020,28-Dec-20,0.9,126.54,1.22
12/29/2020,29-Dec-20,0.91,127.23,1.23
12/30/2020,30-Dec-20,0.9,126.57,1.23
12/31/2020,31-Dec-20,0.9,126.49,1.23
1/4/2021,4-Jan-21,0.9,126.62,1.23
1/5/2021,5-Jan-21,0.9,126.25,1.23
1/6/2021,6-Jan-21,0.91,127.03,1.23
1/7/2021,7-Jan-21,0.9,127.13,1.23
1/8/2021,8-Jan-21,0.9,127.26,1.23
1/11/2021,11-Jan-21,0.9,126.76,1.22
1/12/2021,12-Jan-21,0.89,126.74,1.22
1/13/2021,13-Jan-21,0.89,126.44,1.22
1/14/2021,14-Jan-21,0.89,126.21,1.21
1/15/2021,15-Jan-21,0.89,125.74,1.21
1/18/2021,18-Jan-21,0.89,125.18,1.21
1/19/2021,19-Jan-21,0.89,126.16,1.21
1/20/2021,20-Jan-21,0.89,125.62,1.21
1/21/2021,21-Jan-21,0.89,125.72,1.22
1/22/2021,22-Jan-21,0.89,126.19,1.22
1/25/2021,25-Jan-21,0.89,126.06,1.22
1/26/2021,26-Jan-21,0.89,125.93,1.21
1/27/2021,27-Jan-21,0.88,125.87,1.21
1/28/2021,28-Jan-21,0.89,126.2,1.21
1/29/2021,29-Jan-21,0.88,127.05,1.21
2/1/2021,1-Feb-21,0.88,126.77,1.21
2/2/2021,2-Feb-21,0.88,126.46,1.2
2/3/2021,3-Feb-21,0.88,126.25,1.2
2/4/2021,4-Feb-21,0.88,126.24,1.2
2/5/2021,5-Feb-21,0.88,126.72,1.2
2/8/2021,8-Feb-21,0.88,126.97,1.2
2/9/2021,9-Feb-21,0.88,126.58,1.21
2/10/2021,10-Feb-21,0.88,127.04,1.21
2/11/2021,11-Feb-21,0.88,127.12,1.21
2/12/2021,12-Feb-21,0.88,127.15,1.21
2/15/2021,15-Feb-21,0.87,127.72,1.21
2/16/2021,16-Feb-21,0.87,128.16,1.21
2/17/2021,17-Feb-21,0.87,127.94,1.21
2/18/2021,18-Feb-21,0.87,127.69,1.21
2/19/2021,19-Feb-21,0.87,127.81,1.21
2/22/2021,22-Feb-21,0.87,128,1.21
2/23/2021,23-Feb-21,0.86,127.98,1.21
2/24/2021,24-Feb-21,0.86,128.69,1.21
2/25/2021,25-Feb-21,0.86,129.73,1.22
2/26/2021,26-Feb-21,0.87,128.83,1.21
3/1/2021,1-Mar-21,0.87,128.63,1.21
3/2/2021,2-Mar-21,0.86,128.58,1.2
3/3/2021,3-Mar-21,0.86,128.81,1.2
3/4/2021,4-Mar-21,0.86,129.23,1.2
3/5/2021,5-Mar-21,0.86,129.3,1.19
3/8/2021,8-Mar-21,0.86,128.9,1.19
3/9/2021,9-Mar-21,0.86,129.5,1.19
3/10/2021,10-Mar-21,0.86,129.12,1.19
3/11/2021,11-Mar-21,0.86,129.82,1.2
3/12/2021,12-Mar-21,0.86,130.14,1.19
3/15/2021,15-Mar-21,0.86,130.17,1.19
3/16/2021,16-Mar-21,0.86,129.88,1.19
3/17/2021,17-Mar-21,0.86,130.02,1.19
3/18/2021,18-Mar-21,0.86,130.08,1.19
3/19/2021,19-Mar-21,0.86,129.54,1.19
3/22/2021,22-Mar-21,0.86,129.77,1.19
3/23/2021,23-Mar-21,0.86,128.99,1.19
3/24/2021,24-Mar-21,0.86,128.6,1.18
3/25/2021,25-Mar-21,0.86,128.75,1.18
3/26/2021,26-Mar-21,0.86,129.34,1.18
3/29/2021,29-Mar-21,0.85,129.19,1.18
3/30/2021,30-Mar-21,0.85,129.48,1.17
3/31/2021,31-Mar-21,0.85,129.91,1.17
4/1/2021,1-Apr-21,0.85,130.03,1.17
4/6/2021,6-Apr-21,0.85,130.27,1.18
4/7/2021,7-Apr-21,0.86,130.56,1.19
4/8/2021,8-Apr-21,0.86,129.71,1.19
4/9/2021,9-Apr-21,0.87,130.42,1.19
4/12/2021,12-Apr-21,0.87,130.2,1.19
4/13/2021,13-Apr-21,0.87,130.23,1.19
4/14/2021,14-Apr-21,0.87,130.33,1.2
4/15/2021,15-Apr-21,0.87,130.14,1.2
4/16/2021,16-Apr-21,0.87,130.37,1.2
4/19/2021,19-Apr-21,0.86,130.09,1.2
4/20/2021,20-Apr-21,0.86,130.64,1.21
4/21/2021,21-Apr-21,0.86,129.8,1.2
4/22/2021,22-Apr-21,0.87,130.3,1.2
4/23/2021,23-Apr-21,0.87,129.98,1.21
4/26/2021,26-Apr-21,0.87,130.54,1.21
4/27/2021,27-Apr-21,0.87,130.88,1.21
4/28/2021,28-Apr-21,0.87,131.47,1.21
4/29/2021,29-Apr-21,0.87,132.2,1.21
4/30/2021,30-Apr-21,0.87,131.62,1.21
5/3/2021,3-May-21,0.87,131.9,1.2
5/4/2021,4-May-21,0.87,131.26,1.2
5/5/2021,5-May-21,0.86,131.2,1.2
5/6/2021,6-May-21,0.87,131.69,1.21
5/7/2021,7-May-21,0.87,131.76,1.21
5/10/2021,10-May-21,0.86,132.31,1.22
5/11/2021,11-May-21,0.86,132.12,1.22
5/12/2021,12-May-21,0.86,131.82,1.21
5/13/2021,13-May-21,0.86,132.37,1.21
5/14/2021,14-May-21,0.86,132.49,1.21
5/17/2021,17-May-21,0.86,132.6,1.21
5/18/2021,18-May-21,0.86,133.09,1.22
5/19/2021,19-May-21,0.86,133.3,1.22
5/20/2021,20-May-21,0.86,132.95,1.22
5/21/2021,21-May-21,0.86,132.61,1.22
5/24/2021,24-May-21,0.86,132.97,1.22
5/25/2021,25-May-21,0.87,133.49,1.23
5/26/2021,26-May-21,0.86,133.16,1.22
5/27/2021,27-May-21,0.86,133.42,1.22
5/28/2021,28-May-21,0.86,133.65,1.21
5/31/2021,31-May-21,0.86,133.79,1.22
6/1/2021,1-Jun-21,0.86,134.05,1.22
6/2/2021,2-Jun-21,0.86,133.72,1.22
6/3/2021,3-Jun-21,0.86,133.81,1.22
6/4/2021,4-Jun-21,0.86,133.39,1.21
6/7/2021,7-Jun-21,0.86,132.98,1.22
6/8/2021,8-Jun-21,0.86,133.28,1.22
6/9/2021,9-Jun-21,0.86,133.38,1.22
6/10/2021,10-Jun-21,0.86,133.35,1.22
6/11/2021,11-Jun-21,0.86,132.88,1.21
6/14/2021,14-Jun-21,0.86,132.95,1.21
6/15/2021,15-Jun-21,0.86,133.28,1.21
6/16/2021,16-Jun-21,0.86,133.19,1.21
6/17/2021,17-Jun-21,0.86,132.09,1.19
6/18/2021,18-Jun-21,0.86,131.12,1.19
6/21/2021,21-Jun-21,0.86,130.91,1.19
6/22/2021,22-Jun-21,0.86,131.5,1.19
6/23/2021,23-Jun-21,0.85,132.44,1.2
6/24/2021,24-Jun-21,0.86,132.2,1.19
6/25/2021,25-Jun-21,0.86,132.27,1.2
6/28/2021,28-Jun-21,0.86,132.13,1.19
6/29/2021,29-Jun-21,0.86,131.54,1.19
6/30/2021,30-Jun-21,0.86,131.43,1.19
7/1/2021,1-Jul-21,0.86,132.42,1.19
7/2/2021,2-Jul-21,0.86,131.74,1.18
7/5/2021,5-Jul-21,0.86,131.58,1.19
7/6/2021,6-Jul-21,0.85,130.99,1.18
7/7/2021,7-Jul-21,0.86,130.86,1.18
7/8/2021,8-Jul-21,0.86,129.91,1.18
7/9/2021,9-Jul-21,0.86,130.46,1.19
7/12/2021,12-Jul-21,0.86,130.55,1.19
7/13/2021,13-Jul-21,0.86,130.55,1.18
7/14/2021,14-Jul-21,0.85,130.3,1.18
7/15/2021,15-Jul-21,0.85,129.93,1.18
7/16/2021,16-Jul-21,0.85,130.03,1.18
7/19/2021,19-Jul-21,0.86,128.96,1.18
7/20/2021,20-Jul-21,0.87,129.03,1.18
7/21/2021,21-Jul-21,0.86,129.63,1.18
7/22/2021,22-Jul-21,0.86,129.83,1.18
7/23/2021,23-Jul-21,0.86,130.11,1.18
7/26/2021,26-Jul-21,0.85,130.05,1.18
7/27/2021,27-Jul-21,0.86,129.98,1.18
7/28/2021,28-Jul-21,0.85,129.97,1.18
7/29/2021,29-Jul-21,0.85,130.41,1.19
7/30/2021,30-Jul-21,0.85,130.39,1.19
8/2/2021,2-Aug-21,0.86,130.17,1.19
8/3/2021,3-Aug-21,0.85,129.7,1.19
8/4/2021,4-Aug-21,0.85,129.31,1.19
8/5/2021,5-Aug-21,0.85,129.79,1.19
8/6/2021,6-Aug-21,0.85,129.64,1.18
8/9/2021,9-Aug-21,0.85,129.5,1.18
8/10/2021,10-Aug-21,0.85,129.48,1.17
8/11/2021,11-Aug-21,0.85,129.68,1.17
8/12/2021,12-Aug-21,0.85,129.61,1.17
8/13/2021,13-Aug-21,0.85,129.64,1.18
8/16/2021,16-Aug-21,0.85,128.75,1.18
8/17/2021,17-Aug-21,0.85,128.57,1.18
8/18/2021,18-Aug-21,0.85,128.67,1.17
8/19/2021,19-Aug-21,0.86,128.21,1.17
8/20/2021,20-Aug-21,0.86,127.97,1.17
8/23/2021,23-Aug-21,0.86,129.02,1.17
8/24/2021,24-Aug-21,0.86,128.74,1.17
8/25/2021,25-Aug-21,0.86,129,1.17
8/26/2021,26-Aug-21,0.86,129.6,1.18
8/27/2021,27-Aug-21,0.86,129.59,1.18
8/30/2021,30-Aug-21,0.86,129.66,1.18
8/31/2021,31-Aug-21,0.86,129.95,1.18
9/1/2021,1-Sep-21,0.86,130.35,1.18
9/2/2021,2-Sep-21,0.86,130.31,1.18
9/3/2021,3-Sep-21,0.86,130.54,1.19
9/6/2021,6-Sep-21,0.86,130.34,1.19
9/7/2021,7-Sep-21,0.86,130.51,1.19
9/8/2021,8-Sep-21,0.86,130.31,1.18
9/9/2021,9-Sep-21,0.86,130.1,1.18
9/10/2021,10-Sep-21,0.85,130.03,1.18
9/13/2021,13-Sep-21,0.85,129.62,1.18
9/14/2021,14-Sep-21,0.85,130.08,1.18
9/15/2021,15-Sep-21,0.86,129.11,1.18
9/16/2021,16-Sep-21,0.85,128.67,1.18
9/17/2021,17-Sep-21,0.85,129.61,1.18
9/20/2021,20-Sep-21,0.86,128.18,1.17
9/21/2021,21-Sep-21,0.86,128.34,1.17
9/22/2021,22-Sep-21,0.86,128.5,1.17
9/23/2021,23-Sep-21,0.85,128.88,1.17
9/24/2021,24-Sep-21,0.86,129.49,1.17
9/27/2021,27-Sep-21,0.85,129.74,1.17
9/28/2021,28-Sep-21,0.86,130.17,1.17
9/29/2021,29-Sep-21,0.86,129.89,1.17
9/30/2021,30-Sep-21,0.86,129.67,1.16
10/1/2021,1-Oct-21,0.86,128.97,1.16
10/4/2021,4-Oct-21,0.86,129.21,1.16
10/5/2021,5-Oct-21,0.85,128.99,1.16
10/6/2021,6-Oct-21,0.85,128.52,1.15
10/7/2021,7-Oct-21,0.85,128.78,1.16
10/8/2021,8-Oct-21,0.85,129.32,1.16
10/11/2021,11-Oct-21,0.85,130.7,1.16
10/12/2021,12-Oct-21,0.85,131.06,1.16
10/13/2021,13-Oct-21,0.85,131.3,1.16
10/14/2021,14-Oct-21,0.85,131.65,1.16
10/15/2021,15-Oct-21,0.84,132.65,1.16
10/18/2021,18-Oct-21,0.84,132.46,1.16
10/19/2021,19-Oct-21,0.84,133.12,1.17
10/20/2021,20-Oct-21,0.85,132.78,1.16
10/21/2021,21-Oct-21,0.84,132.85,1.16
10/22/2021,22-Oct-21,0.84,132.43,1.16
10/25/2021,25-Oct-21,0.84,131.88,1.16
10/26/2021,26-Oct-21,0.84,132.47,1.16
10/27/2021,27-Oct-21,0.85,132,1.16
10/28/2021,28-Oct-21,0.84,131.7,1.16
10/29/2021,29-Oct-21,0.84,132.62,1.16
11/1/2021,1-Nov-21,0.85,132.19,1.16
11/2/2021,2-Nov-21,0.85,132.03,1.16
11/3/2021,3-Nov-21,0.85,131.9,1.16
11/4/2021,4-Nov-21,0.85,131.77,1.16
11/5/2021,5-Nov-21,0.86,130.98,1.15
11/8/2021,8-Nov-21,0.85,131.29,1.16
11/9/2021,9-Nov-21,0.85,130.9,1.16
11/10/2021,10-Nov-21,0.86,130.9,1.16
11/11/2021,11-Nov-21,0.86,130.59,1.15
11/12/2021,12-Nov-21,0.86,130.5,1.14
11/15/2021,15-Nov-21,0.85,130.32,1.14
11/16/2021,16-Nov-21,0.85,129.89,1.14
11/17/2021,17-Nov-21,0.84,129.78,1.13
11/18/2021,18-Nov-21,0.84,129.58,1.13
11/19/2021,19-Nov-21,0.84,128.22,1.13
11/22/2021,22-Nov-21,0.84,128.69,1.13
11/23/2021,23-Nov-21,0.84,129.36,1.13
11/24/2021,24-Nov-21,0.84,129.06,1.12
11/25/2021,25-Nov-21,0.84,129.41,1.12
11/26/2021,26-Nov-21,0.85,128.82,1.13
11/29/2021,29-Nov-21,0.85,128.21,1.13
11/30/2021,30-Nov-21,0.85,128.2,1.14
12/1/2021,1-Dec-21,0.85,128.27,1.13
12/2/2021,2-Dec-21,0.85,127.94,1.13
12/3/2021,3-Dec-21,0.85,127.97,1.13
12/6/2021,6-Dec-21,0.85,127.78,1.13
12/7/2021,7-Dec-21,0.85,127.83,1.13
12/8/2021,8-Dec-21,0.86,128.57,1.13
12/9/2021,9-Dec-21,0.86,128.21,1.13
12/10/2021,10-Dec-21,0.85,128.2,1.13
12/13/2021,13-Dec-21,0.85,128.19,1.13
12/14/2021,14-Dec-21,0.85,128.45,1.13
12/15/2021,15-Dec-21,0.85,128.25,1.13
12/16/2021,16-Dec-21,0.85,129.37,1.13
12/17/2021,17-Dec-21,0.85,128.28,1.13
12/20/2021,20-Dec-21,0.85,127.98,1.13
12/21/2021,21-Dec-21,0.85,128.44,1.13
12/22/2021,22-Dec-21,0.85,129.08,1.13
12/23/2021,23-Dec-21,0.84,129.39,1.13
12/24/2021,24-Dec-21,0.84,129.45,1.13
12/27/2021,27-Dec-21,0.84,129.79,1.13
12/28/2021,28-Dec-21,0.84,130.16,1.13
12/29/2021,29-Dec-21,0.84,129.97,1.13
12/30/2021,30-Dec-21,0.84,130.44,1.13
12/31/2021,31-Dec-21,0.84,130.38,1.13
1/3/2022,3-Jan-22,0.84,130.56,1.14
1/4/2022,4-Jan-22,0.84,131.17,1.13
1/5/2022,5-Jan-22,0.84,131.03,1.13
1/6/2022,6-Jan-22,0.84,131.05,1.13
1/7/2022,7-Jan-22,0.83,130.9,1.13
1/10/2022,10-Jan-22,0.83,130.45,1.13
1/11/2022,11-Jan-22,0.83,130.95,1.13
1/12/2022,12-Jan-22,0.83,131.19,1.14
1/13/2022,13-Jan-22,0.84,130.98,1.15
1/14/2022,14-Jan-22,0.84,130.17,1.14
1/17/2022,17-Jan-22,0.84,130.64,1.14
1/18/2022,18-Jan-22,0.84,130.39,1.14
1/19/2022,19-Jan-22,0.83,129.86,1.13
1/20/2022,20-Jan-22,0.83,129.53,1.13
1/21/2022,21-Jan-22,0.84,129.14,1.13
1/24/2022,24-Jan-22,0.84,128.62,1.13
1/25/2022,25-Jan-22,0.84,128.49,1.13
1/26/2022,26-Jan-22,0.83,128.86,1.13
1/27/2022,27-Jan-22,0.83,128.74,1.12
1/28/2022,28-Jan-22,0.83,128.68,1.11
1/31/2022,31-Jan-22,0.83,128.79,1.12
2/1/2022,1-Feb-22,0.83,129.12,1.13
2/2/2022,2-Feb-22,0.83,129.37,1.13
2/3/2022,3-Feb-22,0.83,129.63,1.13
2/4/2022,4-Feb-22,0.85,131.72,1.15
2/7/2022,7-Feb-22,0.85,131.59,1.14
2/8/2022,8-Feb-22,0.84,131.68,1.14
2/9/2022,9-Feb-22,0.84,132.04,1.14
2/10/2022,10-Feb-22,0.84,132.42,1.14
2/11/2022,11-Feb-22,0.84,132.24,1.14
2/14/2022,14-Feb-22,0.84,130.6,1.13
2/15/2022,15-Feb-22,0.84,131.18,1.13
2/16/2022,16-Feb-22,0.84,131.56,1.14
2/17/2022,17-Feb-22,0.83,130.84,1.14
2/18/2022,18-Feb-22,0.83,130.59,1.14
2/21/2022,21-Feb-22,0.83,130.2,1.13
2/22/2022,22-Feb-22,0.84,130.54,1.13
2/23/2022,23-Feb-22,0.83,130.58,1.13
2/24/2022,24-Feb-22,0.83,128.28,1.12
2/25/2022,25-Feb-22,0.84,129.64,1.12
2/28/2022,28-Feb-22,0.84,129.31,1.12
3/1/2022,1-Mar-22,0.83,128.15,1.12
3/2/2022,2-Mar-22,0.83,128.08,1.11
3/3/2022,3-Mar-22,0.83,128.18,1.11
3/4/2022,4-Mar-22,0.82,126.17,1.09
3/7/2022,7-Mar-22,0.83,125.55,1.09
3/8/2022,8-Mar-22,0.83,126.03,1.09
3/9/2022,9-Mar-22,0.84,127.31,1.1
3/10/2022,10-Mar-22,0.84,128.54,1.11
3/11/2022,11-Mar-22,0.84,128.46,1.1
3/14/2022,14-Mar-22,0.84,129.3,1.1
3/15/2022,15-Mar-22,0.84,129.67,1.1
3/16/2022,16-Mar-22,0.84,130.05,1.1
3/17/2022,17-Mar-22,0.84,131.27,1.11
3/18/2022,18-Mar-22,0.84,131.4,1.1
3/21/2022,21-Mar-22,0.84,131.57,1.1
3/22/2022,22-Mar-22,0.83,132.96,1.1
3/23/2022,23-Mar-22,0.83,132.65,1.1
3/24/2022,24-Mar-22,0.83,133.71,1.1
3/25/2022,25-Mar-22,0.83,134.07,1.1
3/28/2022,28-Mar-22,0.84,135.93,1.1
3/29/2022,29-Mar-22,0.84,136.66,1.11
3/30/2022,30-Mar-22,0.85,135.47,1.11
3/31/2022,31-Mar-22,0.85,135.17,1.11
4/1/2022,1-Apr-22,0.84,135.35,1.11
4/4/2022,4-Apr-22,0.84,135.08,1.1
4/5/2022,5-Apr-22,0.83,134.76,1.1
4/6/2022,6-Apr-22,0.83,135.3,1.09
4/7/2022,7-Apr-22,0.83,135.32,1.09
4/8/2022,8-Apr-22,0.83,134.87,1.09
4/11/2022,11-Apr-22,0.84,137.01,1.09
4/12/2022,12-Apr-22,0.83,136.29,1.09
4/13/2022,13-Apr-22,0.83,136.26,1.08
4/14/2022,14-Apr-22,0.83,136.32,1.09
4/19/2022,19-Apr-22,0.83,138.4,1.08
4/20/2022,20-Apr-22,0.83,138.53,1.08
4/21/2022,21-Apr-22,0.84,139.61,1.09
4/22/2022,22-Apr-22,0.84,138.83,1.08
4/25/2022,25-Apr-22,0.84,137.73,1.07
4/26/2022,26-Apr-22,0.84,136.15,1.07
4/27/2022,27-Apr-22,0.84,135.57,1.06
4/28/2022,28-Apr-22,0.84,137.13,1.05
4/29/2022,29-Apr-22,0.84,137.01,1.05
5/2/2022,2-May-22,0.84,136.63,1.05
5/3/2022,3-May-22,0.84,137.06,1.06
5/4/2022,4-May-22,0.84,136.84,1.05
5/5/2022,5-May-22,0.85,137.18,1.06
5/6/2022,6-May-22,0.86,137.9,1.06
5/9/2022,9-May-22,0.85,138.1,1.06
5/10/2022,10-May-22,0.86,137.38,1.06
5/11/2022,11-May-22,0.85,137.07,1.06
5/12/2022,12-May-22,0.85,133.85,1.04
5/13/2022,13-May-22,0.85,133.91,1.04
5/16/2022,16-May-22,0.85,135.01,1.04
5/17/2022,17-May-22,0.84,136.32,1.05
5/18/2022,18-May-22,0.85,135.76,1.05
5/19/2022,19-May-22,0.85,134.46,1.05
5/20/2022,20-May-22,0.85,135.34,1.06
5/23/2022,23-May-22,0.85,136.05,1.07
5/24/2022,24-May-22,0.86,136.49,1.07
5/25/2022,25-May-22,0.85,135.34,1.07
5/26/2022,26-May-22,0.85,135.95,1.07
5/27/2022,27-May-22,0.85,136.05,1.07
5/30/2022,30-May-22,0.85,137.25,1.08
5/31/2022,31-May-22,0.85,137.36,1.07
6/1/2022,1-Jun-22,0.85,138.68,1.07
6/2/2022,2-Jun-22,0.85,138.72,1.07
6/3/2022,3-Jun-22,0.85,139.59,1.07
6/6/2022,6-Jun-22,0.85,140.16,1.07
6/7/2022,7-Jun-22,0.85,141.66,1.07
6/8/2022,8-Jun-22,0.86,143.92,1.07
6/9/2022,9-Jun-22,0.86,143.93,1.07
6/10/2022,10-Jun-22,0.85,141.69,1.06
6/13/2022,13-Jun-22,0.86,140.51,1.05
6/14/2022,14-Jun-22,0.87,140.62,1.05
6/15/2022,15-Jun-22,0.86,140.49,1.04
6/16/2022,16-Jun-22,0.86,138.24,1.04
6/17/2022,17-Jun-22,0.86,141.21,1.05
6/20/2022,20-Jun-22,0.86,141.94,1.05
6/21/2022,21-Jun-22,0.86,143.75,1.06
6/22/2022,22-Jun-22,0.86,143.11,1.05
6/23/2022,23-Jun-22,0.86,142.11,1.05
6/24/2022,24-Jun-22,0.86,142.19,1.05
6/27/2022,27-Jun-22,0.86,143.25,1.06
6/28/2022,28-Jun-22,0.86,143.67,1.06
6/29/2022,29-Jun-22,0.86,143.53,1.05
6/30/2022,30-Jun-22,0.86,141.54,1.04
7/1/2022,1-Jul-22,0.87,141.05,1.04
7/4/2022,4-Jul-22,0.86,141.51,1.05
7/5/2022,5-Jul-22,0.86,139.77,1.03
7/6/2022,6-Jul-22,0.86,137.71,1.02
7/7/2022,7-Jul-22,0.85,138.11,1.02
7/8/2022,8-Jul-22,0.85,138.05,1.02
7/11/2022,11-Jul-22,0.85,138.77,1.01
7/12/2022,12-Jul-22,0.85,137.31,1
7/13/2022,13-Jul-22,0.84,138.02,1.01
7/14/2022,14-Jul-22,0.85,139.04,1
7/15/2022,15-Jul-22,0.85,139.49,1.01
7/18/2022,18-Jul-22,0.85,140.16,1.01
7/19/2022,19-Jul-22,0.85,141.01,1.02
7/20/2022,20-Jul-22,0.85,140.92,1.02
7/21/2022,21-Jul-22,0.86,141.46,1.02
7/22/2022,22-Jul-22,0.85,139.51,1.02
7/25/2022,25-Jul-22,0.85,139.84,1.02
7/26/2022,26-Jul-22,0.85,138.35,1.01
7/27/2022,27-Jul-22,0.84,138.89,1.02
7/28/2022,28-Jul-22,0.84,137.26,1.01
7/29/2022,29-Jul-22,0.84,136.42,1.02
8/1/2022,1-Aug-22,0.84,135.38,1.02
8/2/2022,2-Aug-22,0.84,133.9,1.02
8/3/2022,3-Aug-22,0.84,136.18,1.02
8/4/2022,4-Aug-22,0.84,135.81,1.02
8/5/2022,5-Aug-22,0.84,136.22,1.02
8/8/2022,8-Aug-22,0.84,137.62,1.02
8/9/2022,9-Aug-22,0.85,138.26,1.02
8/10/2022,10-Aug-22,0.85,138.16,1.03
8/11/2022,11-Aug-22,0.85,136.57,1.03
8/12/2022,12-Aug-22,0.85,137.47,1.03
8/15/2022,15-Aug-22,0.84,135.61,1.02
8/16/2022,16-Aug-22,0.84,136.11,1.01
8/17/2022,17-Aug-22,0.84,137.36,1.02
8/18/2022,18-Aug-22,0.84,137.17,1.02
8/19/2022,19-Aug-22,0.85,137.67,1.01
8/22/2022,22-Aug-22,0.85,137.08,1
8/23/2022,23-Aug-22,0.84,136.34,0.99
8/24/2022,24-Aug-22,0.84,135.74,0.99
8/25/2022,25-Aug-22,0.84,136.07,1
8/26/2022,26-Aug-22,0.85,137.02,1
8/29/2022,29-Aug-22,0.85,138.49,1
8/30/2022,30-Aug-22,0.86,138.71,1
8/31/2022,31-Aug-22,0.86,138.72,1
9/1/2022,1-Sep-22,0.86,139.34,1
9/2/2022,2-Sep-22,0.86,140.36,1
9/5/2022,5-Sep-22,0.86,139.47,0.99
9/6/2022,6-Sep-22,0.86,140.91,0.99
9/7/2022,7-Sep-22,0.87,143.2,0.99
9/8/2022,8-Sep-22,0.87,143.65,1
9/9/2022,9-Sep-22,0.87,143.3,1
9/12/2022,12-Sep-22,0.87,144.49,1.02
9/13/2022,13-Sep-22,0.87,144.5,1.02
9/14/2022,14-Sep-22,0.86,143.08,1
9/15/2022,15-Sep-22,0.87,143.43,1
9/16/2022,16-Sep-22,0.87,142.53,1
9/19/2022,19-Sep-22,0.88,143.42,1
9/20/2022,20-Sep-22,0.87,143.34,1
9/21/2022,21-Sep-22,0.87,142.66,0.99
9/22/2022,22-Sep-22,0.87,139.18,0.99
9/23/2022,23-Sep-22,0.88,139.43,0.98
9/26/2022,26-Sep-22,0.89,139.07,0.96
9/27/2022,27-Sep-22,0.89,139.28,0.96
9/28/2022,28-Sep-22,0.9,138.39,0.96
9/29/2022,29-Sep-22,0.89,140.46,0.97
9/30/2022,30-Sep-22,0.88,141.01,0.97
10/3/2022,3-Oct-22,0.87,141.49,0.98
10/4/2022,4-Oct-22,0.87,143.3,0.99
