DATE,Euro  (Jan. 1999-),US Dollars  (Jan. 1977-),UK Pounds Sterling  (Jan. 1981-),Japanese Yen  (Jan. 1981-)
2018M07D27,745,640.9,838.8,5.8
2018M07D30,744.9,637.6,836.3,5.7
2018M07D31,745,634.8,835,5.7
2018M08D01,745.1,637.1,836.9,5.7
2018M08D02,745.2,641.4,835.9,5.8
2018M08D03,745.3,643.1,836.9,5.8
2018M08D06,745.2,645.6,834.7,5.8
2018M08D07,745.2,642.3,832.8,5.8
2018M08D08,745.3,643.1,827.4,5.8
2018M08D09,745.7,643.2,829.1,5.8
2018M08D10,745.4,650.7,831.3,5.9
2018M08D13,745.4,653.7,834.4,5.9
2018M08D14,745.5,653.6,834.8,5.9
2018M08D15,745.7,658.7,836.7,5.9
2018M08D16,745.7,655.9,833.2,5.9
2018M08D17,745.8,654.7,832.6,5.9
2018M08D20,745.9,653.1,833.6,5.9
2018M08D21,745.8,648.4,831.1,5.9
2018M08D22,745.9,642.1,829.4,5.8
2018M08D23,745.9,644.2,829.9,5.8
2018M08D24,745.9,643.7,827,5.8
2018M08D27,745.8,641.1,825.3,5.8
2018M08D28,745.7,636.8,822.4,5.7
2018M08D29,745.7,639.6,824,5.7
2018M08D30,745.7,637.8,830.8,5.7
2018M08D31,745.6,639.9,830.8,5.8
2018M09D03,745.4,642.1,826.7,5.8
2018M09D04,745.5,644.8,827.8,5.8
2018M09D05,745.6,643.8,825.4,5.8
2018M09D06,745.7,640.9,830.2,5.8
2018M09D07,745.8,642.1,835.4,5.8
2018M09D10,745.8,644.5,834.8,5.8
2018M09D11,746,644.5,837.5,5.8
2018M09D12,745.9,643.9,837.9,5.8
2018M09D13,746,642,838.2,5.8
2018M09D14,746,638.2,836,5.7
2018M09D17,745.9,639.1,839.3,5.7
2018M09D18,746,637.8,838.6,5.7
2018M09D19,746,639.4,839.9,5.7
2018M09D20,745.9,633.8,842,5.7
2018M09D21,746,634.4,834.4,5.6
2018M09D24,746,633.6,833.9,5.6
2018M09D25,746,633.4,834.2,5.6
2018M09D26,745.8,635.5,837.3,5.6
2018M09D27,745.9,637.2,838.4,5.6
2018M09D28,745.6,644.1,840.4,5.7
2018M10D01,745.6,642.4,837,5.6
2018M10D02,745.6,645.9,837.4,5.7
2018M10D03,745.7,645.7,838.8,5.7
2018M10D04,745.7,648.3,841.8,5.7
2018M10D05,745.9,648.3,846,5.7
2018M10D08,746,649.9,847.6,5.7
2018M10D09,745.9,652.3,850.7,5.8
2018M10D10,746,648.7,853.1,5.7
2018M10D11,746,644.5,852.7,5.7
2018M10D12,746,644.6,851.2,5.7
2018M10D15,746.1,644.2,847.4,5.8
2018M10D16,746.1,643.9,851.8,5.7
2018M10D17,746,647,848.3,5.8
2018M10D18,746.1,648.5,849.3,5.8
2018M10D19,746.1,650.4,847.6,5.8
2018M10D22,746,649.1,843.7,5.8
2018M10D23,746,650,846.8,5.8
2018M10D24,746,655.1,845.5,5.8
2018M10D25,746.1,653.6,842.7,5.8
2018M10D26,746.1,657.6,841.3,5.9
2018M10D29,746.1,655.6,840.4,5.8
2018M10D30,746.1,656.1,837,5.8
2018M10D31,746.1,659.3,839.6,5.8
2018M11D01,746,654.8,846.1,5.8
2018M11D02,746,653.4,849,5.8
2018M11D05,746,656.1,852.2,5.8
2018M11D06,745.9,652.7,854.3,5.8
2018M11D07,746,649.4,853.5,5.7
2018M11D08,746,653,855.8,5.7
2018M11D09,745.9,657.5,856.9,5.8
2018M11D12,746,662.2,851.9,5.8
2018M11D13,746.1,662.6,858.2,5.8
2018M11D14,746.2,660.6,857.2,5.8
2018M11D15,746.2,660.1,844.4,5.8
2018M11D16,746.2,657.7,844.6,5.8
2018M11D19,746.3,653.1,837.7,5.8
2018M11D20,746.3,653.4,839.4,5.8
2018M11D21,746.2,654,837.4,5.8
2018M11D22,746.2,654.4,842.2,5.8
2018M11D23,746.2,657.3,843.3,5.8
2018M11D26,746.1,656.6,843.7,5.8
2018M11D27,746.2,658.7,840.8,5.8
2018M11D28,746.2,661.3,845.6,5.8
2018M11D29,746.2,655.3,837.2,5.8
2018M11D30,746.2,656.9,837.8,5.8
2018M12D03,746.2,658.5,837,5.8
2018M12D04,746.3,654.1,838,5.8
2018M12D05,746.3,657.3,839.6,5.8
2018M12D06,746.4,657.5,839.3,5.8
2018M12D07,746.4,656.4,837.9,5.8
2018M12D10,746.4,653.3,827.1,5.8
2018M12D11,746.4,656,827.3,5.8
2018M12D12,746.4,657.9,828.1,5.8
2018M12D13,746.5,656.5,830.8,5.8
2018M12D14,746.6,661.6,831,5.8
2018M12D17,746.6,658.3,830.6,5.8
2018M12D18,746.8,656.4,832.4,5.8
2018M12D19,746.8,654.8,826.8,5.8
2018M12D20,746.7,652.1,826.6,5.8
2018M12D21,746.7,654.2,827.7,5.9
2018M12D27,746.7,656.3,829,5.9
2018M12D28,746.7,651.9,827.2,5.9
2019M01D02,746.7,655.2,828.1,6
2019M01D03,746.8,658.1,826.9,6.1
2019M01D04,746.8,654.9,829.9,6.1
2019M01D07,746.8,652.5,832.3,6
2019M01D08,746.6,652.7,832,6
2019M01D09,746.6,651.8,830.4,6
2019M01D10,746.6,647.2,825.6,6
2019M01D11,746.4,647.2,829.2,6
2019M01D14,746.4,650.9,836.2,6
2019M01D15,746.4,653.3,838.4,6
2019M01D16,746.4,655.4,842.6,6
2019M01D17,746.5,655.1,845.8,6
2019M01D18,746.5,654.7,847.1,6
2019M01D21,746.6,657.1,845.5,6
2019M01D22,746.7,657.6,848.5,6
2019M01D23,746.7,656.9,856.2,6
2019M01D24,746.6,658.3,857.3,6
2019M01D25,746.6,658.1,862.4,6
2019M01D28,746.5,653.8,859.2,6
2019M01D29,746.5,653.6,860.7,6
2019M01D30,746.5,653.2,854.7,6
2019M01D31,746.6,649.9,852.5,6
2019M02D01,746.5,650.8,849.4,6
2019M02D04,746.5,652.3,851.5,5.9
2019M02D05,746.5,653.5,850.2,5.9
2019M02D06,746.5,655.2,849.6,6
2019M02D07,746.4,657.9,850.6,6
2019M02D08,746.3,657.8,853.1,6
2019M02D11,746.4,660,851.9,6
2019M02D12,746.2,660.6,850.8,6
2019M02D13,746.2,660,852.3,6
2019M02D14,746.2,662.2,848.4,6
2019M02D15,746.1,662.6,848.5,6
2019M02D18,746.2,658.7,851.6,6
2019M02D19,746.2,660.7,855.9,6
2019M02D20,746.1,657.9,858.2,5.9
2019M02D21,746.2,657.2,859.6,5.9
2019M02D22,746.2,658.9,855.1,5.9
2019M02D25,746.2,657.1,859.3,5.9
2019M02D26,746.2,656.8,867.1,5.9
2019M02D27,746.1,655.3,872.6,5.9
2019M02D28,746.1,653.6,869.2,5.9
2019M03D01,746.1,655.5,867.9,5.9
2019M03D04,746.2,658.2,869.9,5.9
2019M03D05,746.1,658.6,864,5.9
2019M03D06,746.1,660,867.9,5.9
2019M03D07,746.1,662,868.8,5.9
2019M03D08,746,664.8,868.4,6
2019M03D11,746.1,663.5,865.1,6
2019M03D12,746,661.7,866,6
2019M03D13,746,660,868.7,5.9
2019M03D14,746.2,660.7,875.6,5.9
2019M03D15,746.3,660,873.8,5.9
2019M03D18,746.2,657.5,871.1,5.9
2019M03D19,746.2,657,872.3,5.9
2019M03D20,746.2,657.3,864.9,5.9
2019M03D21,746.3,655.4,861.2,5.9
2019M03D22,746.2,660.3,868.8,6
2019M03D25,746.5,659.1,871.7,6
2019M03D26,746.5,661.2,874.9,6
2019M03D27,746.6,663,877.2,6
2019M03D28,746.6,665.5,872.6,6
2019M03D29,746.5,664.5,869.8,6
2019M04D01,746.4,664.3,871.4,6
2019M04D02,746.5,666.5,868,6
2019M04D03,746.4,663.9,874.1,6
2019M04D04,746.4,665.3,873.8,6
2019M04D05,746.5,664.5,868.6,6
2019M04D08,746.5,663.8,866.2,6
2019M04D09,746.5,662,864.7,5.9
2019M04D10,746.5,661.9,867.2,6
2019M04D11,746.5,662.7,866.3,6
2019M04D12,746.4,659.3,865,5.9
2019M04D15,746.4,659.8,864.8,5.9
2019M04D16,746.4,660.3,864,5.9
2019M04D17,746.5,660.6,862.1,5.9
2019M04D23,746.6,663.9,863.6,5.9
2019M04D24,746.7,666.1,862.7,6
2019M04D25,746.6,671.3,863.8,6
2019M04D26,746.5,670.6,864.7,6
2019M04D29,746.5,669.5,864.6,6
2019M04D30,746.5,665.4,865.5,6
2019M05D02,746.6,665.9,868.8,6
2019M05D03,746.6,669.3,870.3,6
2019M05D06,746.6,666.7,873.6,6
2019M05D07,746.6,667.5,871.7,6
2019M05D08,746.6,666.5,867.2,6.1
2019M05D09,746.6,667,866.9,6.1
2019M05D10,746.6,664.8,865.6,6.1
2019M05D13,746.7,664,864.7,6.1
2019M05D14,746.9,665.3,861.3,6.1
2019M05D15,747,667.9,860.3,6.1
2019M05D16,746.8,666.6,853.8,6.1
2019M05D20,746.8,668.8,852.3,6.1
2019M05D21,746.9,669.2,852.5,6.1
2019M05D22,746.8,668.5,845.9,6.1
2019M05D23,746.8,670.5,847.7,6.1
2019M05D24,746.8,667.5,845.6,6.1
2019M05D27,746.9,667,846.6,6.1
2019M05D28,746.9,667.3,845.2,6.1
2019M05D29,746.9,669.5,846.6,6.1
2019M06D03,746.8,667.7,842.7,6.2
2019M06D04,746.8,664.2,841.6,6.1
2019M06D06,746.9,662.9,843.4,6.1
2019M06D07,746.8,662.5,842.2,6.1
2019M06D11,746.9,659.8,838.4,6.1
2019M06D12,746.8,659.5,840.9,6.1
2019M06D13,746.8,661.5,839.6,6.1
2019M06D14,746.8,662.9,838.2,6.1
